elapsed time,alminium bar,iron bar,copper bar
0,29.0,29.3,28.7
30,35.0,29.5,33.3
60,42.5,30.7,37.1
90,46.7,32.6,40.2
120,49.6,34.6,41.3
150,51.6,36.4,41.9
180,51.8,37.5,43.6
210,53.4,40.0,45.1
240,53.6,40.6,45.6
270,53.4,40.8,44.7
300,53.0,40.9,46.3
330,51.8,41.5,46.3
360,53.6,42.6,45.7
390,54.8,42.8,45.1
420,54.8,42.9,46.4
450,52.8,42.8,47.3
480,53.4,42.7,47.6
510,53.2,43.0,47.6
540,53.1,42.5,47.2
570,53.0,42.8,47.2
600,54.7,43.9,46.3
630,54.9,44.4,45.9
660,55.2,44.6,45.6
690,55.1,44.6,47.1
720,55.5,45.2,47.0
750,56.3,45.8,46.9
780,54.9,45.2,47.2
810,54.7,45.5,47.1
840,55.5,45.8,47.2
870,55.2,45.8,46.2
900,55.7,45.9,46.8
930,55.5,46.0,47.0
960,55.4,46.2,47.0
990,55.1,45.8,46.5
